sqlTypeId	javaclass	need args	full text indexable	StandardSQL	DB2	H2	HSQLDB	MySQL	Oracle	PostgreSQL	SQLite	SQLServer	SQLServer 2008	MSAccess
character(n)	java.lang.String		TRUE	char(n)=true|char=true	char(n)=true|char=true	char(n)=true|character=true	char(n)=true|character=true	char(n)=true|char=true	char(n)=true|char=true	char(n)=true|bpchar=true	text=false	char(n)=true|char=true	char(n)=true|char=true	text=false
varchar(n)	java.lang.String		TRUE	${sqlTypeId}=true|varchar=true	${sqlTypeId}=true|varchar=true	${sqlTypeId}=true|varchar=true	${sqlTypeId}=true|varchar=true	${sqlTypeId}=true|varchar=true	varchar2(n)=true|varchar2=true	${sqlTypeId}=true|varchar=true	text=false	${sqlTypeId}=true|varchar=true	${sqlTypeId}=true|varchar=true	text=false
nchar(n)	java.lang.String		TRUE	${sqlTypeId}=true|nchar=true	graphic(n)=true|graphic=true	char(n)=false	char(n)=false	char(n)=false	${sqlTypeId}=true|nchar=true	char(n)=false	text=false	${sqlTypeId}=true|nchar=true	${sqlTypeId}=true|nchar=true	text=false
nvarchar(n)	java.lang.String		TRUE	${sqlTypeId}=true|nvarchar=true	vargraphic(n)=true|vargraphic=true	varchar(n)=false	varchar(n)=false	varchar(n)=false	nvarchar2(n)=true|nvarchar2=true	varchar(n)=false	text=false	${sqlTypeId}=true|nvarchar=true	${sqlTypeId}=true|nvarchar=true	text=false
decimal	java.lang.Integer			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number=true	${sqlTypeId}=true	numeric=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true
decimal(p)	java.lang.Integer			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number(p)=true	${sqlTypeId}=true	numeric=false	${sqlTypeId}=true	${sqlTypeId}=true	decimal=false
decimal(p,s)	java.lang.Double			${sqlTypeId}=true|decimal=true	${sqlTypeId}=true|decimal=true	${sqlTypeId}=true|decimal=true	${sqlTypeId}=true|decimal=true	${sqlTypeId}=true|decimal=true	number(p,s)=true|number=true	${sqlTypeId}=true	numeric=false	${sqlTypeId}=true|decimal=true	${sqlTypeId}=true|decimal=true	decimal=false
numeric	java.lang.Integer			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	decimal=false
numeric(p)	java.lang.Integer			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number(p)=false	${sqlTypeId}=true	numeric=false	${sqlTypeId}=true	${sqlTypeId}=true	decimal=false
numeric(p,s)	java.lang.Double			${sqlTypeId}=true|numeric=true	${sqlTypeId}=true	${sqlTypeId}=true|numeric=true	${sqlTypeId}=true|numeric=true	${sqlTypeId}=true	number(p,s)=false	${sqlTypeId}=true|numeric=true	numeric=false	${sqlTypeId}=true|numeric=true	${sqlTypeId}=true|numeric=true	decimal=false
integer	java.lang.Integer			${sqlTypeId}=true|int=true	int=true|${sqlTypeId}=true	int=true|${sqlTypeId}=true	int=true|${sqlTypeId}=true	int=true	number(10,0)=true	int=true|int4=true	${sqlTypeId}=true	int=true	int=true	long=false
smallint	java.lang.Short			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number(5,0)=true	${sqlTypeId}=true|int2=true	integer=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true
float	java.lang.Float			${sqlTypeId}=true	decfloat=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true|float8=true	real=false	${sqlTypeId}=true	${sqlTypeId}=true	double=false
double precision	java.lang.Double			double=true	double=true	double=true	double=true	double=true	float(24)=true	${sqlTypeId}=true	real=false	float(53)=false|float(53)=true	float(53)=false|float(53)=true	double=true
real	java.lang.Double			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	float(24)=true	${sqlTypeId}=true|float4=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true
text	java.lang.String		TRUE	${sqlTypeId}=true	clob=false	clob=false	clob=false	${sqlTypeId}=true	clob=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true|varchar=true
clob	java.lang.String		TRUE	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	text=false	${sqlTypeId}=true	text=false	text=false	text=false	text=false	memo=true|longchar=true
clob(n)	java.lang.String		TRUE	${sqlTypeId}=true|clob=true	${sqlTypeId}=true|clob=true	${sqlTypeId}=true|clob=true	${sqlTypeId}=true|clob=true	text=false	clob=false	text=false	text=false	text=false	text=false	memo=false
nclob	java.lang.String		TRUE	${sqlTypeId}=true	clob=false	clob=false	clob=false	text=false	${sqlTypeId}=true	text=false	text=false	ntext=false	ntext=false	memo=false
ntext	java.lang.String		TRUE	${sqlTypeId}=true	clob=false	clob=false	clob=false	text=false	nclob=false	text=false	text=false	${sqlTypeId}=true	${sqlTypeId}=true	text=false
varchar	java.lang.String		TRUE	${sqlTypeId}=true	varchar(n)=false	${sqlTypeId}=true	${sqlTypeId}=true	varchar(n)=false	varchar2(n)=false	${sqlTypeId}=true	text=false	varchar(max)=true	varchar(max)=true	text=false
varchar_ignorecase	java.lang.String		TRUE	varchar=false	varchar(n)=false	${sqlTypeId}=true	${sqlTypeId}=true	varchar(n)=false	varchar2(n)=false	varchar=false	text=false	varchar(max)=false	varchar(max)=false	text=false
